Date,Male_Mean,Female_Mean
2020-07-22,43.737373737373744,53.25203252032521
2020-08-06,43.72881355932204,53.94308943089432
2020-08-19,45.91503267973856,50.20408163265305
2020-09-02,47.61194029850746,45.50925925925926
2020-09-16,48.020833333333336,56.00877192982457
2020-10-01,48.07692307692309,49.63414634146341
2020-10-14,45.6609195402299,49.469696969696955
2020-10-28,45.083333333333336,56.08695652173912
2020-11-11,46.34615384615385,53.6
2020-11-26,47.833333333333336,52.84946236559139
2020-12-10,50.02688172043011,54.35897435897436
2020-12-24,45.520833333333336,50.745614035087726
