Date,Northeast_Mean,Midwest_Mean,South_Mean,West_Mean
2020-07-22,45.83333333333333,47.3015873015873,48.738738738738746,46.781609195402304
2020-08-06,49.75,40.357142857142854,49.67741935483872,53.56060606060607
2020-08-19,49.46969696969697,48.13333333333334,49.35483870967741,44.545454545454554
2020-09-02,46.060606060606055,45.277777777777786,47.67857142857143,48.333333333333336
2020-09-16,50.416666666666664,46.722222222222236,53.9102564102564,52.31884057971014
2020-10-01,49.375,45.68181818181817,49.50450450450451,49.4927536231884
2020-10-14,46.1764705882353,46.26436781609195,50.00000000000001,45.93333333333333
2020-10-28,44.74358974358974,48.28703703703704,51.6279069767442,48.43137254901961
2020-11-11,54.64912280701754,48.33333333333333,48.59375,49.68253968253968
2020-11-26,50.41666666666667,52.01149425287357,48.1140350877193,46.851851851851855
2020-12-10,49.07407407407407,55.83333333333332,51.8421052631579,49.0
2020-12-24,51.92307692307692,49.930555555555564,42.6,45.49382716049383
